,allotype,Baka,Mbuti,Datooga,Iraqw,Dogon,Fulani,Hadza,Nama,Khomani,Ga-Adangbe
,,2N=38,2N=30,2N=36,2N=24,2N=88,2N=28,2N=88,2N=144,2N=156,2N=338
,*07:02,,0.167,0.056,,0.102,,0.011,0.062,0.114,0.071
,*07:05,,,,,,,,,,0.008
,*07:06,,,,,0.023,0.036,,0.006,0.089,
,*07:09,,,0.028,,,,,,,
,*07:55,,0.033,,,,,,,,
,*08:01,,,0.056,0.045,0.034,0.071,0.023,0.025,0.006,0.005
,*13:01,0.026,,,,,,0.023,,0.006,
,*13:02,,,0.083,,,,0.068,,0.006,
,*13:03,,,,0.045,,,,0.037,0.013,
,*14:01,0.184,0.033,0.028,,,,,0.043,0.038,
,*14:02,,,0.028,,,,0.011,0.006,0.025,0.014
,*14:03,,,,,0.023,,,,,
,*15:01,0.105,0.033,,,0.011,,,0.006,0.006,
,*15:02,0.026,0.067,,,,,,,,
,*15:03,,,,,0.091,0.179,0.034,0.074,0.076,0.033
,*15:10,,,,,0.045,,0.023,0.025,0.089,0.077
,*15:16,,,,,,,,,,0.027
,*15:17,,,,,,,,,0.006,
,*15:18,,,,,0.011,,,,,
,*15:21,,,,,,,,,0.006,
,*15:220,,,,,,,,0.019,0.006,
,*15:268,,,,,0.011,,,,,
,*15:35,,,,,,,,0.006,,
,*18:01,,,0.083,0.045,0.023,0.036,,0.043,0.032,0.046
,*18:02,0.026,,,,,,,,,
,*18:03,,,,,,,,0.049,,
,*18:04,,,,,,,,,0.006,
,*18:25,,,,,,,,,,0.003
,*27:01,0.053,,,,0.011,0.036,,0.006,0.013,
,*27:02,,,,,,,,0.043,,
,*27:07,,,,,,,,0.006,,
,*27:03,,,,,,0.036,,,0.006,
,*27:05,,,,,,,,,0.006,
,*35:01,,0.033,,,0.125,,,0.012,0.032,0.071
,*35:02,,,,,,,,0.025,,
,*35:21,,,,,0.011,,,,,
,*37:01,0.079,0.033,,,,0.036,,,,
,*37:02,0.026,,,,,,,,,
,*37:21,0.026,,,,,,,,,
,*38:01,,,,,,,,,0.006,
,*39:01,,0.033,,,,,,,,
,*39:02,0.026,0.033,,,,,,,,
,*39:10,,,0.028,0.045,,,,0.062,0.006,0.005
,*40:01,,,,,,,,,0.006,
,*40:04,,,,,,,,,0.006,
,*40:06,,,,,,0.036,,0.019,0.006,
,*40:12,,,0.028,,,,,,,
,*41:01,,,0.083,0.045,,,,0.031,0.032,
,*41:02,0.132,0.033,0.056,,,,0.205,0.006,0.006,
,*42:01,0.026,,,,0.136,,,0.006,0.032,0.098
,*42:02,0.026,0.033,,,0.023,0.071,,,,0.014
,*42:06,,,,,,,,0.006,,
,*44:02,,0.133,0.056,0.045,,,,0.019,,
,*44:03,,,0.028,,,,0.375,0.185,0.089,0.090
,*44:04,,,,,,,,0.012,,
,*44:05,,,0.056,,,,,0.006,,
,*44:10,,,0.028,,,,,,,0.005
,*44:43,,,,,,,0.011,,,
,*44:70,,,,0.045,,,,,,
,*45:01,0.026,,,,0.011,,,,,0.025
,*45:02,0.053,,,,,,,,,
,*47:01,,,,,,,,,0.006,
,*49:01,,,0.056,0.136,,0.036,0.034,,,0.014
,*50:01,,,0.028,,0.023,,,,,0.019
,*51:01,,,0.028,0.091,,0.036,,0.012,0.006,0.014
,*51:02,0.053,,,,,,,,,
,*51:09,,,,,0.023,,,,,
,*51:10,,,,0.045,,,,,,
,*51:15,,,,,0.011,,,,,
,*52:01,,,,,0.034,0.071,,,,0.112
,*53:01,,,0.028,0.136,0.125,,0.125,0.012,0.019,0.131
,*53:02,0.026,0.033,,,,,,,,
,*53:04,,,,,,,,,,0.003
,*53:05,,,,,,,,,,0.008
,*53:08,,,,,,,,,,0.003
,*55:01,,,,,,,,0.006,,
,*57:01,,,,0.091,,,0.023,0.006,0.013,0.011
,*57:02,,0.067,,,,0.107,,,0.013,0.008
,*57:03,,,0.028,,0.011,,0.011,,0.013,0.003
,*57:04,,,,,,,,,,0.014
,*58:01,,0.067,0.056,0.091,0.011,,0.011,,0.044,0.052
,*58:02,0.053,0.167,0.056,0.091,,,0.011,0.086,0.095,0.005
,*67:01,,,,,,,,,0.006,
,*78:01,,,,,0.068,0.214,,,,0.008
,*81:01,,,,,,,,0.012,,0.003
,*81:02,0.026,,,,,,,,,
,*82:01,,,,,,,,,0.006,
,*82:02,,,,,,,,0.019,0.006,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
