,allotype,Baka,Mbuti,Datooga,Iraqw,Dogon,Fulani,Hadza,Nama,Khomani,Ga-Adangbe,,,,,,,,
,,2N=40,2N=38,2N=32,2N=22,2N=88,2N=28,2N=88,2N=144,2N=156,2N=338,,,,,,,,
,*02:02,0.237,0.105,,,,0.071,0.034,0.049,0.051,0.066,,,,,,,,
,*02:04,0.026,,,,,,,,,,,,,,,,,
,*02:10,,,,,0.102,0.179,,0.130,0.019,,,,,,,,,
,*02:27,0.053,,,,,,,,,,,,,,,,,
,*03:02,,0.026,,,,,,0.019,0.025,0.041,,,,,,,,
,*03:03,,,,,,,,0.006,,0.011,,,,,,,,
,*03:04,0.026,,,,0.080,,0.011,0.006,0.013,0.057,,,,,,,,
,*03:05,,,,,,,,,,0.011,,,,,,,,
,*03:32,,,,,,,,,0.006,,,,,,,,,
,*04:01,0.053,0.132,0.219,0.167,0.216,,0.182,0.086,0.228,0.265,,,,,,,,
,*04:03,,,,,,,,,0.019,,,,,,,,,
,*04:04,,,0.031,,,,,,,0.003,,,,,,,,
,*04:15,,,,,,,,,,0.003,,,,,,,,
,*04:29,,,,,,,0.011,,,,,,,,,,,
,*04:71,,,,,,,,0.012,,,,,,,,,,
,*05:01,0.105,0.053,,,,0.036,,0.031,0.019,0.014,,,,,,,,
,*05:04,,,,,,,,0.006,,,,,,,,,,
,*05:32,,0.026,0.031,0.042,,,,,,,,,,,,,,
,*06:01,,,0.125,0.042,,,,,,,,,,,,,,
,*06:02,0.079,0.158,0.063,0.125,0.045,0.071,0.057,0.142,0.152,0.025,,,,,,,,
,*06:08,,,,,,,0.011,,,,,,,,,,,
,*06:11,0.026,0.026,,,,,0.114,,,,,,,,,,,
,*07:01,0.105,0.132,0.125,0.208,0.011,0.036,0.216,0.031,0.038,0.055,,,,,,,,
,*07:02,0.105,0.132,0.219,0.167,0.136,0.036,0.045,0.056,0.152,0.046,,,,,,,,
,*07:03,0.026,0.053,,,,,0.034,,0.019,,,,,,,,,
,*07:04,,,,,,,,0.056,0.019,,,,,,,,,
,*07:09,,,,0.083,,,,,,,,,,,,,,
,*07:10,,,,,,,,,0.006,,,,,,,,,
,*07:13,,,,,,,,,0.006,,,,,,,,,
,*07:18,,,,,0.023,0.107,,,0.006,,,,,,,,,
,*07:31,,,,,,,,0.006,,,,,,,,,,
,*08:02,,,0.031,,0.034,,,0.012,0.019,0.030,,,,,,,,
,*08:04,0.105,,,,,,,0.025,0.044,,,,,,,,,
,*08:113,,,,,,,,0.006,,,,,,,,,,
,*12:02,0.026,0.026,,0.042,,,0.011,,0.013,,,,,,,,,
,*12:03,0.026,0.026,,,,,,0.012,0.019,0.005,,,,,,,,
,*12:04,,,,,,,,0.006,,,,,,,,,,
,*14:01,,,0.031,,,,,,,,,,,,,,,
,*14:02,,0.026,,,0.023,,,,,0.016,,,,,,,,
,*15:02,,,,,,,,0.025,,,,,,,,,,
,*15:152,,,,,,,,0.025,,,,,,,,,,
,*15:05,,,,,,,,0.012,0.019,0.014,,,,,,,,
,*15:23,,,,,,,,0.006,,,,,,,,,,
,*16:01,,,,0.083,0.136,0.321,0.011,0.099,,0.167,,,,,,,,
,*16:04,,,0.031,,,,,,,,,,,,,,,
,*17:01,,0.053,,,0.182,0.143,0.250,,,0.120,,,,,,,,
,*17:02,,,0.094,0.042,,,,,,,,,,,,,,
,*17:03,,,,,,,,0.080,0.082,,,,,,,,,
,*17:39,,,,,,,,0.006,,,,,,,,,,
,*18:01,,0.026,,,,,0.011,,0.006,0.041,,,,,,,,
,*18:02,,,,,0.011,,,0.049,0.019,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
