bin,coverage,frequency
1000,0,0
2000,0,0
3000,0,0
4000,0,0
5000,0,0
6000,0,0
7000,0,0
8000,0,0
9000,0,0
10000,0,0
11000,0,0
12000,0,0
13000,0,0
14000,0,0
15000,0,0
16000,0,0
17000,0,0
18000,0,0
19000,0,0
20000,0,0
21000,0,0
22000,0,0
23000,0,0
24000,0,0
25000,0,0
26000,0,0
27000,0,0
28000,0,0
29000,0,0
30000,0,0
31000,0,0
32000,0,0
33000,0,0
34000,0,0
35000,0,0
36000,0,0
37000,0,0
38000,0,0
39000,0,0
40000,0,0
41000,0,0
42000,0,0
43000,0,0
44000,0,0
45000,0,0
46000,0,0
47000,0,0
48000,0,0
49000,0,0
50000,0,0
51000,0,0
52000,0,0
53000,0,0
54000,0,0
55000,0,0
56000,0,0
57000,0,0
58000,0,0
59000,0,0
60000,0,0
61000,0,0
62000,0,0
63000,0,0
64000,0,0
65000,0,0
66000,0,0
67000,0,0
68000,0,0
69000,0,0
70000,0,0
71000,0,0
72000,0,0
73000,0,0
74000,0,0
75000,0,0
76000,0,0
77000,0,0
78000,0,0
79000,0,0
80000,0,0
81000,0,0
82000,0,0
83000,0,0
84000,0,0
85000,0,0
86000,0,0
87000,0,0
88000,0,0
89000,0,0
90000,0,0
91000,0,0
92000,0,0
93000,0,0
94000,0,0
95000,0,0
96000,0,0
97000,0,0
98000,0,0
99000,0,0
1e+05,0,0
101000,0,0
102000,0,0
103000,0,0
104000,0,0
105000,0,0
106000,0,0
107000,0,0
108000,0,0
109000,0,0
110000,0,0
111000,0,0
112000,0,0
113000,0,0
114000,0,0
115000,0,0
116000,0,0
117000,0,0
118000,0,0
119000,0,0
120000,0,0
121000,0,0
122000,0,0
123000,0,0
124000,0,0
125000,0,0
126000,0,0
127000,0,0
128000,0,0
129000,0,0
130000,0,0
131000,0,0
132000,0,0
133000,0,0
134000,0,0
135000,0,0
136000,0,0
137000,0,0
138000,0,0
139000,0,0
140000,0,0
141000,0,0
142000,0,0
143000,0,0
144000,0,0
145000,0,0
146000,0,0
147000,0,0
148000,0,0
149000,0,0
150000,0,0
151000,0,0
152000,0,0
153000,0,0
154000,0,0
155000,0,0
156000,0,0
157000,0,0
158000,0,0
159000,0,0
160000,0,0
161000,0,0
162000,0,0
163000,0,0
164000,0,0
165000,0,0
166000,0,0
167000,0,0
168000,0,0
169000,0,0
170000,0,0
171000,0,0
172000,0,0
173000,0,0
174000,0,0
175000,0,0
176000,0,0
177000,0,0
178000,0,0
179000,0,0
180000,0,0
181000,0,0
182000,0,0
183000,0,0
184000,0,0
185000,0,0
186000,0,0
187000,0,0
188000,0,0
189000,0,0
190000,0,0
191000,0,0
192000,0,0
193000,0,0
194000,0,0
195000,0,0
196000,0,0
197000,0,0
198000,0,0
199000,0,0
2e+05,0,0
201000,0,0
202000,0,0
203000,0,0
204000,0,0
205000,546,0.0147671
206000,546,0.0147671
207000,546,0.0147671
208000,546,0.0147671
209000,546,0.0147671
210000,546,0.0147671
211000,546,0.0147671
212000,546,0.0147671
213000,546,0.0147671
214000,546,0.0147671
215000,546,0.0147671
216000,551,0.0149024
217000,551,0.0149024
218000,551,0.0149024
219000,551,0.0149024
220000,551,0.0149024
221000,551,0.0149024
222000,551,0.0149024
223000,551,0.0149024
224000,551,0.0149024
225000,551,0.0149024
226000,551,0.0149024
227000,551,0.0149024
228000,551,0.0149024
229000,551,0.0149024
230000,551,0.0149024
231000,567,0.0153351
232000,567,0.0153351
233000,567,0.0153351
234000,567,0.0153351
235000,567,0.0153351
236000,567,0.0153351
237000,567,0.0153351
238000,567,0.0153351
239000,567,0.0153351
240000,567,0.0153351
241000,567,0.0153351
242000,567,0.0153351
243000,567,0.0153351
244000,567,0.0153351
245000,567,0.0153351
246000,567,0.0153351
247000,567,0.0153351
248000,567,0.0153351
249000,567,0.0153351
250000,567,0.0153351
251000,567,0.0153351
252000,567,0.0153351
253000,567,0.0153351
254000,567,0.0153351
255000,567,0.0153351
256000,567,0.0153351
257000,567,0.0153351
258000,567,0.0153351
259000,567,0.0153351
260000,567,0.0153351
261000,567,0.0153351
262000,567,0.0153351
263000,567,0.0153351
264000,567,0.0153351
265000,567,0.0153351
266000,567,0.0153351
267000,567,0.0153351
268000,567,0.0153351
269000,567,0.0153351
270000,567,0.0153351
271000,567,0.0153351
272000,567,0.0153351
273000,567,0.0153351
274000,567,0.0153351
275000,567,0.0153351
276000,567,0.0153351
277000,567,0.0153351
278000,567,0.0153351
279000,567,0.0153351
280000,567,0.0153351
281000,567,0.0153351
282000,567,0.0153351
283000,567,0.0153351
284000,567,0.0153351
285000,567,0.0153351
286000,567,0.0153351
287000,567,0.0153351
288000,567,0.0153351
289000,567,0.0153351
290000,567,0.0153351
291000,567,0.0153351
292000,567,0.0153351
293000,567,0.0153351
294000,567,0.0153351
295000,567,0.0153351
296000,567,0.0153351
297000,567,0.0153351
298000,567,0.0153351
299000,567,0.0153351
3e+05,567,0.0153351
301000,567,0.0153351
302000,567,0.0153351
303000,567,0.0153351
304000,567,0.0153351
305000,567,0.0153351
306000,567,0.0153351
307000,567,0.0153351
308000,567,0.0153351
309000,567,0.0153351
310000,567,0.0153351
311000,567,0.0153351
312000,567,0.0153351
313000,567,0.0153351
314000,567,0.0153351
315000,567,0.0153351
316000,567,0.0153351
317000,567,0.0153351
318000,567,0.0153351
319000,567,0.0153351
320000,567,0.0153351
321000,567,0.0153351
322000,567,0.0153351
323000,567,0.0153351
324000,567,0.0153351
325000,567,0.0153351
326000,567,0.0153351
327000,567,0.0153351
328000,567,0.0153351
329000,567,0.0153351
330000,567,0.0153351
331000,567,0.0153351
332000,567,0.0153351
333000,567,0.0153351
334000,567,0.0153351
335000,567,0.0153351
336000,567,0.0153351
337000,567,0.0153351
338000,567,0.0153351
339000,567,0.0153351
340000,567,0.0153351
341000,567,0.0153351
342000,567,0.0153351
343000,567,0.0153351
344000,567,0.0153351
345000,567,0.0153351
346000,567,0.0153351
347000,567,0.0153351
348000,567,0.0153351
349000,567,0.0153351
350000,567,0.0153351
351000,567,0.0153351
352000,567,0.0153351
353000,567,0.0153351
354000,567,0.0153351
355000,567,0.0153351
356000,567,0.0153351
357000,567,0.0153351
358000,567,0.0153351
359000,567,0.0153351
360000,567,0.0153351
361000,567,0.0153351
362000,567,0.0153351
363000,567,0.0153351
364000,567,0.0153351
365000,567,0.0153351
366000,567,0.0153351
367000,567,0.0153351
368000,567,0.0153351
369000,567,0.0153351
370000,567,0.0153351
371000,567,0.0153351
372000,567,0.0153351
373000,567,0.0153351
374000,567,0.0153351
375000,567,0.0153351
376000,567,0.0153351
377000,567,0.0153351
378000,567,0.0153351
379000,567,0.0153351
380000,567,0.0153351
381000,567,0.0153351
382000,567,0.0153351
383000,567,0.0153351
384000,567,0.0153351
385000,567,0.0153351
386000,567,0.0153351
387000,567,0.0153351
388000,567,0.0153351
389000,567,0.0153351
390000,567,0.0153351
391000,567,0.0153351
392000,567,0.0153351
393000,567,0.0153351
394000,567,0.0153351
395000,567,0.0153351
396000,567,0.0153351
397000,567,0.0153351
398000,567,0.0153351
399000,587,0.015876
4e+05,587,0.015876
401000,587,0.015876
402000,587,0.015876
403000,587,0.015876
404000,587,0.015876
405000,587,0.015876
406000,587,0.015876
407000,587,0.015876
408000,587,0.015876
409000,587,0.015876
410000,587,0.015876
411000,587,0.015876
412000,587,0.015876
413000,587,0.015876
414000,587,0.015876
415000,587,0.015876
416000,587,0.015876
417000,587,0.015876
418000,587,0.015876
419000,587,0.015876
420000,587,0.015876
421000,587,0.015876
422000,587,0.015876
423000,587,0.015876
424000,587,0.015876
425000,587,0.015876
426000,587,0.015876
427000,587,0.015876
428000,587,0.015876
429000,587,0.015876
430000,587,0.015876
431000,587,0.015876
432000,587,0.015876
433000,587,0.015876
434000,587,0.015876
435000,587,0.015876
436000,587,0.015876
437000,587,0.015876
438000,587,0.015876
439000,587,0.015876
440000,587,0.015876
441000,587,0.015876
442000,587,0.015876
443000,587,0.015876
444000,587,0.015876
445000,587,0.015876
446000,587,0.015876
447000,587,0.015876
448000,587,0.015876
449000,587,0.015876
450000,587,0.015876
451000,587,0.015876
452000,587,0.015876
453000,587,0.015876
454000,587,0.015876
455000,587,0.015876
456000,587,0.015876
457000,587,0.015876
458000,589,0.0159301
459000,589,0.0159301
460000,589,0.0159301
461000,589,0.0159301
462000,589,0.0159301
463000,589,0.0159301
464000,589,0.0159301
465000,589,0.0159301
466000,589,0.0159301
467000,591,0.0159842
468000,591,0.0159842
469000,591,0.0159842
470000,591,0.0159842
471000,593,0.0160383
472000,621,0.0167956
473000,621,0.0167956
474000,621,0.0167956
475000,621,0.0167956
476000,621,0.0167956
477000,621,0.0167956
478000,621,0.0167956
479000,621,0.0167956
480000,621,0.0167956
481000,621,0.0167956
482000,621,0.0167956
483000,621,0.0167956
484000,621,0.0167956
485000,621,0.0167956
486000,628,0.0169849
487000,628,0.0169849
488000,628,0.0169849
489000,628,0.0169849
490000,628,0.0169849
491000,632,0.0170931
492000,632,0.0170931
493000,632,0.0170931
494000,632,0.0170931
495000,632,0.0170931
496000,632,0.0170931
497000,632,0.0170931
498000,632,0.0170931
499000,632,0.0170931
5e+05,632,0.0170931
501000,632,0.0170931
502000,632,0.0170931
503000,632,0.0170931
504000,632,0.0170931
505000,632,0.0170931
506000,632,0.0170931
507000,632,0.0170931
508000,632,0.0170931
509000,632,0.0170931
510000,632,0.0170931
511000,632,0.0170931
512000,632,0.0170931
513000,632,0.0170931
514000,632,0.0170931
515000,632,0.0170931
516000,632,0.0170931
517000,632,0.0170931
518000,632,0.0170931
519000,632,0.0170931
520000,632,0.0170931
521000,632,0.0170931
522000,632,0.0170931
523000,632,0.0170931
524000,632,0.0170931
525000,632,0.0170931
526000,632,0.0170931
527000,632,0.0170931
528000,632,0.0170931
529000,632,0.0170931
530000,632,0.0170931
531000,632,0.0170931
532000,632,0.0170931
533000,632,0.0170931
534000,632,0.0170931
535000,632,0.0170931
536000,632,0.0170931
537000,632,0.0170931
538000,632,0.0170931
539000,632,0.0170931
540000,632,0.0170931
541000,632,0.0170931
542000,632,0.0170931
543000,632,0.0170931
544000,632,0.0170931
545000,632,0.0170931
546000,632,0.0170931
547000,632,0.0170931
548000,632,0.0170931
549000,632,0.0170931
550000,632,0.0170931
551000,632,0.0170931
552000,632,0.0170931
553000,632,0.0170931
554000,632,0.0170931
555000,632,0.0170931
556000,632,0.0170931
557000,632,0.0170931
558000,632,0.0170931
559000,632,0.0170931
560000,632,0.0170931
561000,632,0.0170931
562000,632,0.0170931
563000,632,0.0170931
564000,632,0.0170931
565000,632,0.0170931
566000,632,0.0170931
567000,632,0.0170931
568000,632,0.0170931
569000,632,0.0170931
570000,632,0.0170931
571000,632,0.0170931
572000,632,0.0170931
573000,632,0.0170931
574000,632,0.0170931
575000,632,0.0170931
576000,632,0.0170931
577000,632,0.0170931
578000,639,0.0172824
579000,639,0.0172824
580000,639,0.0172824
581000,639,0.0172824
582000,639,0.0172824
583000,639,0.0172824
584000,639,0.0172824
585000,639,0.0172824
586000,639,0.0172824
587000,639,0.0172824
588000,639,0.0172824
589000,639,0.0172824
590000,639,0.0172824
591000,639,0.0172824
592000,639,0.0172824
593000,639,0.0172824
594000,639,0.0172824
595000,639,0.0172824
596000,639,0.0172824
597000,639,0.0172824
598000,639,0.0172824
599000,639,0.0172824
6e+05,639,0.0172824
601000,639,0.0172824
602000,639,0.0172824
603000,639,0.0172824
604000,639,0.0172824
605000,639,0.0172824
606000,639,0.0172824
607000,639,0.0172824
608000,639,0.0172824
609000,639,0.0172824
610000,639,0.0172824
611000,639,0.0172824
612000,639,0.0172824
613000,639,0.0172824
614000,639,0.0172824
615000,639,0.0172824
616000,639,0.0172824
617000,639,0.0172824
618000,639,0.0172824
619000,639,0.0172824
620000,639,0.0172824
621000,639,0.0172824
622000,639,0.0172824
623000,639,0.0172824
624000,639,0.0172824
625000,639,0.0172824
626000,639,0.0172824
627000,639,0.0172824
628000,643,0.0173906
629000,643,0.0173906
630000,643,0.0173906
631000,643,0.0173906
632000,643,0.0173906
633000,643,0.0173906
634000,643,0.0173906
635000,643,0.0173906
636000,643,0.0173906
637000,643,0.0173906
638000,643,0.0173906
639000,643,0.0173906
640000,643,0.0173906
641000,643,0.0173906
642000,643,0.0173906
643000,645,0.0174447
644000,645,0.0174447
645000,645,0.0174447
646000,645,0.0174447
647000,645,0.0174447
648000,645,0.0174447
649000,645,0.0174447
650000,645,0.0174447
651000,645,0.0174447
652000,645,0.0174447
653000,645,0.0174447
654000,645,0.0174447
655000,645,0.0174447
656000,645,0.0174447
657000,645,0.0174447
658000,645,0.0174447
659000,645,0.0174447
660000,645,0.0174447
661000,645,0.0174447
662000,645,0.0174447
663000,645,0.0174447
664000,645,0.0174447
665000,645,0.0174447
666000,645,0.0174447
667000,645,0.0174447
668000,645,0.0174447
669000,645,0.0174447
670000,645,0.0174447
671000,645,0.0174447
672000,645,0.0174447
673000,645,0.0174447
674000,645,0.0174447
675000,645,0.0174447
676000,645,0.0174447
677000,645,0.0174447
678000,645,0.0174447
679000,645,0.0174447
680000,645,0.0174447
681000,645,0.0174447
682000,645,0.0174447
683000,645,0.0174447
684000,645,0.0174447
685000,645,0.0174447
686000,645,0.0174447
687000,645,0.0174447
688000,645,0.0174447
689000,645,0.0174447
690000,645,0.0174447
691000,645,0.0174447
692000,645,0.0174447
693000,645,0.0174447
694000,645,0.0174447
695000,645,0.0174447
696000,645,0.0174447
697000,645,0.0174447
698000,647,0.0174988
699000,647,0.0174988
7e+05,647,0.0174988
701000,647,0.0174988
702000,647,0.0174988
703000,657,0.0177692
704000,657,0.0177692
705000,657,0.0177692
706000,657,0.0177692
707000,657,0.0177692
708000,657,0.0177692
709000,657,0.0177692
710000,657,0.0177692
711000,657,0.0177692
712000,657,0.0177692
713000,657,0.0177692
714000,657,0.0177692
715000,657,0.0177692
716000,657,0.0177692
717000,657,0.0177692
718000,657,0.0177692
719000,657,0.0177692
720000,657,0.0177692
721000,657,0.0177692
722000,657,0.0177692
723000,657,0.0177692
724000,657,0.0177692
725000,657,0.0177692
726000,657,0.0177692
727000,657,0.0177692
728000,657,0.0177692
729000,657,0.0177692
730000,657,0.0177692
731000,657,0.0177692
732000,657,0.0177692
733000,657,0.0177692
734000,657,0.0177692
735000,657,0.0177692
736000,657,0.0177692
737000,657,0.0177692
738000,658,0.0177963
739000,658,0.0177963
740000,658,0.0177963
741000,658,0.0177963
742000,658,0.0177963
743000,658,0.0177963
