bin,coverage,frequency
1000,0,0
2000,0,0
3000,0,0
4000,0,0
5000,0,0
6000,0,0
7000,0,0
8000,0,0
9000,0,0
10000,0,0
11000,0,0
12000,0,0
13000,0,0
14000,0,0
15000,0,0
16000,0,0
17000,0,0
18000,0,0
19000,0,0
20000,0,0
21000,0,0
22000,0,0
23000,0,0
24000,0,0
25000,0,0
26000,0,0
27000,0,0
28000,0,0
29000,0,0
30000,0,0
31000,0,0
32000,0,0
33000,0,0
34000,0,0
35000,0,0
36000,0,0
37000,0,0
38000,0,0
39000,0,0
40000,0,0
41000,0,0
42000,0,0
43000,0,0
44000,0,0
45000,0,0
46000,0,0
47000,0,0
48000,0,0
49000,0,0
50000,0,0
51000,0,0
52000,0,0
53000,0,0
54000,0,0
55000,0,0
56000,0,0
57000,0,0
58000,0,0
59000,0,0
60000,0,0
61000,0,0
62000,0,0
63000,0,0
64000,0,0
65000,0,0
66000,0,0
67000,0,0
68000,0,0
69000,0,0
70000,0,0
71000,0,0
72000,0,0
73000,0,0
74000,0,0
75000,0,0
76000,0,0
77000,0,0
78000,0,0
79000,0,0
80000,0,0
81000,0,0
82000,0,0
83000,0,0
84000,0,0
85000,0,0
86000,0,0
87000,0,0
88000,0,0
89000,0,0
90000,0,0
91000,0,0
92000,0,0
93000,0,0
94000,0,0
95000,0,0
96000,0,0
97000,0,0
98000,0,0
99000,0,0
1e+05,0,0
101000,0,0
102000,0,0
103000,0,0
104000,0,0
105000,0,0
106000,0,0
107000,0,0
108000,0,0
109000,0,0
110000,0,0
111000,0,0
112000,0,0
113000,0,0
114000,0,0
115000,0,0
116000,0,0
117000,0,0
118000,0,0
119000,0,0
120000,0,0
121000,0,0
122000,0,0
123000,0,0
124000,0,0
125000,0,0
126000,0,0
127000,0,0
128000,0,0
129000,0,0
130000,0,0
131000,0,0
132000,0,0
133000,0,0
134000,0,0
135000,0,0
136000,0,0
137000,0,0
138000,0,0
139000,0,0
140000,0,0
141000,0,0
142000,0,0
143000,0,0
144000,0,0
145000,0,0
146000,0,0
147000,0,0
148000,0,0
149000,0,0
150000,0,0
151000,0,0
152000,0,0
153000,0,0
154000,0,0
155000,0,0
156000,0,0
157000,0,0
158000,0,0
159000,0,0
160000,0,0
161000,0,0
162000,0,0
163000,0,0
164000,0,0
165000,0,0
166000,0,0
167000,0,0
168000,0,0
169000,0,0
170000,0,0
171000,0,0
172000,0,0
173000,0,0
174000,0,0
175000,0,0
176000,0,0
177000,0,0
178000,0,0
179000,0,0
180000,0,0
181000,0,0
182000,0,0
183000,0,0
184000,0,0
185000,0,0
186000,0,0
187000,0,0
188000,0,0
189000,0,0
190000,0,0
191000,0,0
192000,0,0
193000,0,0
194000,0,0
195000,0,0
196000,0,0
197000,0,0
198000,0,0
199000,0,0
2e+05,0,0
201000,0,0
202000,0,0
203000,0,0
204000,0,0
205000,42,0.0084507
206000,42,0.0084507
207000,42,0.0084507
208000,42,0.0084507
209000,42,0.0084507
210000,42,0.0084507
211000,42,0.0084507
212000,42,0.0084507
213000,42,0.0084507
214000,42,0.0084507
215000,42,0.0084507
216000,45,0.00905433
217000,45,0.00905433
218000,45,0.00905433
219000,45,0.00905433
220000,45,0.00905433
221000,45,0.00905433
222000,45,0.00905433
223000,45,0.00905433
224000,45,0.00905433
225000,45,0.00905433
226000,45,0.00905433
227000,45,0.00905433
228000,45,0.00905433
229000,45,0.00905433
230000,45,0.00905433
231000,46,0.00925553
232000,46,0.00925553
233000,46,0.00925553
234000,46,0.00925553
235000,46,0.00925553
236000,46,0.00925553
237000,46,0.00925553
238000,46,0.00925553
239000,46,0.00925553
240000,46,0.00925553
241000,46,0.00925553
242000,46,0.00925553
243000,46,0.00925553
244000,46,0.00925553
245000,46,0.00925553
246000,46,0.00925553
247000,46,0.00925553
248000,46,0.00925553
249000,46,0.00925553
250000,46,0.00925553
251000,46,0.00925553
252000,46,0.00925553
253000,46,0.00925553
254000,46,0.00925553
255000,46,0.00925553
256000,46,0.00925553
257000,46,0.00925553
258000,46,0.00925553
259000,46,0.00925553
260000,46,0.00925553
261000,46,0.00925553
262000,46,0.00925553
263000,46,0.00925553
264000,46,0.00925553
265000,46,0.00925553
266000,46,0.00925553
267000,46,0.00925553
268000,46,0.00925553
269000,46,0.00925553
270000,46,0.00925553
271000,46,0.00925553
272000,46,0.00925553
273000,46,0.00925553
274000,46,0.00925553
275000,46,0.00925553
276000,46,0.00925553
277000,46,0.00925553
278000,46,0.00925553
279000,46,0.00925553
280000,46,0.00925553
281000,46,0.00925553
282000,46,0.00925553
283000,46,0.00925553
284000,46,0.00925553
285000,46,0.00925553
286000,46,0.00925553
287000,46,0.00925553
288000,46,0.00925553
289000,46,0.00925553
290000,46,0.00925553
291000,46,0.00925553
292000,46,0.00925553
293000,46,0.00925553
294000,46,0.00925553
295000,46,0.00925553
296000,46,0.00925553
297000,46,0.00925553
298000,46,0.00925553
299000,46,0.00925553
3e+05,46,0.00925553
301000,46,0.00925553
302000,46,0.00925553
303000,46,0.00925553
304000,46,0.00925553
305000,46,0.00925553
306000,46,0.00925553
307000,46,0.00925553
308000,46,0.00925553
309000,46,0.00925553
310000,46,0.00925553
311000,46,0.00925553
312000,46,0.00925553
313000,46,0.00925553
314000,46,0.00925553
315000,46,0.00925553
316000,46,0.00925553
317000,46,0.00925553
318000,46,0.00925553
319000,46,0.00925553
320000,46,0.00925553
321000,46,0.00925553
322000,46,0.00925553
323000,46,0.00925553
324000,46,0.00925553
325000,46,0.00925553
326000,46,0.00925553
327000,46,0.00925553
328000,46,0.00925553
329000,46,0.00925553
330000,46,0.00925553
331000,46,0.00925553
332000,46,0.00925553
333000,46,0.00925553
334000,46,0.00925553
335000,46,0.00925553
336000,46,0.00925553
337000,46,0.00925553
338000,46,0.00925553
339000,46,0.00925553
340000,46,0.00925553
341000,46,0.00925553
342000,46,0.00925553
343000,46,0.00925553
344000,46,0.00925553
345000,46,0.00925553
346000,46,0.00925553
347000,46,0.00925553
348000,46,0.00925553
349000,46,0.00925553
350000,46,0.00925553
351000,46,0.00925553
352000,46,0.00925553
353000,46,0.00925553
354000,46,0.00925553
355000,46,0.00925553
356000,46,0.00925553
357000,46,0.00925553
358000,46,0.00925553
359000,46,0.00925553
360000,46,0.00925553
361000,46,0.00925553
362000,46,0.00925553
363000,46,0.00925553
364000,46,0.00925553
365000,46,0.00925553
366000,46,0.00925553
367000,46,0.00925553
368000,46,0.00925553
369000,46,0.00925553
370000,46,0.00925553
371000,46,0.00925553
372000,46,0.00925553
373000,46,0.00925553
374000,46,0.00925553
375000,46,0.00925553
376000,46,0.00925553
377000,46,0.00925553
378000,46,0.00925553
379000,46,0.00925553
380000,46,0.00925553
381000,46,0.00925553
382000,46,0.00925553
383000,46,0.00925553
384000,46,0.00925553
385000,46,0.00925553
386000,46,0.00925553
387000,46,0.00925553
388000,46,0.00925553
389000,46,0.00925553
390000,46,0.00925553
391000,46,0.00925553
392000,46,0.00925553
393000,46,0.00925553
394000,46,0.00925553
395000,46,0.00925553
396000,46,0.00925553
397000,46,0.00925553
398000,46,0.00925553
399000,47,0.00945674
4e+05,47,0.00945674
401000,47,0.00945674
402000,47,0.00945674
403000,47,0.00945674
404000,47,0.00945674
405000,47,0.00945674
406000,47,0.00945674
407000,47,0.00945674
408000,47,0.00945674
409000,47,0.00945674
410000,47,0.00945674
411000,47,0.00945674
412000,47,0.00945674
413000,47,0.00945674
414000,47,0.00945674
415000,47,0.00945674
416000,47,0.00945674
417000,47,0.00945674
418000,47,0.00945674
419000,47,0.00945674
420000,47,0.00945674
421000,47,0.00945674
422000,47,0.00945674
423000,47,0.00945674
424000,47,0.00945674
425000,47,0.00945674
426000,47,0.00945674
427000,47,0.00945674
428000,47,0.00945674
429000,47,0.00945674
430000,47,0.00945674
431000,47,0.00945674
432000,47,0.00945674
433000,47,0.00945674
434000,47,0.00945674
435000,47,0.00945674
436000,47,0.00945674
437000,47,0.00945674
438000,47,0.00945674
439000,47,0.00945674
440000,47,0.00945674
441000,47,0.00945674
442000,47,0.00945674
443000,47,0.00945674
444000,47,0.00945674
445000,47,0.00945674
446000,47,0.00945674
447000,47,0.00945674
448000,47,0.00945674
449000,47,0.00945674
450000,47,0.00945674
451000,47,0.00945674
452000,47,0.00945674
453000,47,0.00945674
454000,47,0.00945674
455000,47,0.00945674
456000,47,0.00945674
457000,47,0.00945674
458000,47,0.00945674
459000,47,0.00945674
460000,47,0.00945674
461000,47,0.00945674
462000,47,0.00945674
463000,47,0.00945674
464000,47,0.00945674
465000,47,0.00945674
466000,47,0.00945674
467000,48,0.00965795
468000,48,0.00965795
469000,48,0.00965795
470000,48,0.00965795
471000,48,0.00965795
472000,48,0.00965795
473000,48,0.00965795
474000,48,0.00965795
475000,48,0.00965795
476000,48,0.00965795
477000,48,0.00965795
478000,48,0.00965795
479000,48,0.00965795
480000,48,0.00965795
481000,48,0.00965795
482000,48,0.00965795
483000,48,0.00965795
484000,48,0.00965795
485000,48,0.00965795
486000,49,0.00985915
487000,49,0.00985915
488000,49,0.00985915
489000,49,0.00985915
490000,49,0.00985915
491000,49,0.00985915
492000,49,0.00985915
493000,49,0.00985915
494000,49,0.00985915
495000,49,0.00985915
496000,49,0.00985915
497000,49,0.00985915
498000,49,0.00985915
499000,49,0.00985915
5e+05,49,0.00985915
501000,49,0.00985915
502000,49,0.00985915
503000,49,0.00985915
504000,49,0.00985915
505000,49,0.00985915
506000,49,0.00985915
507000,49,0.00985915
508000,49,0.00985915
509000,49,0.00985915
510000,49,0.00985915
511000,49,0.00985915
512000,49,0.00985915
513000,49,0.00985915
514000,49,0.00985915
515000,49,0.00985915
516000,49,0.00985915
517000,49,0.00985915
518000,49,0.00985915
519000,49,0.00985915
520000,49,0.00985915
521000,49,0.00985915
522000,49,0.00985915
523000,49,0.00985915
524000,49,0.00985915
525000,49,0.00985915
526000,49,0.00985915
527000,49,0.00985915
528000,49,0.00985915
529000,49,0.00985915
530000,49,0.00985915
531000,49,0.00985915
532000,49,0.00985915
533000,49,0.00985915
534000,49,0.00985915
535000,49,0.00985915
536000,49,0.00985915
537000,49,0.00985915
538000,49,0.00985915
539000,49,0.00985915
540000,49,0.00985915
541000,49,0.00985915
542000,49,0.00985915
543000,49,0.00985915
544000,49,0.00985915
545000,49,0.00985915
546000,49,0.00985915
547000,49,0.00985915
548000,49,0.00985915
549000,49,0.00985915
550000,49,0.00985915
551000,49,0.00985915
552000,49,0.00985915
553000,49,0.00985915
554000,49,0.00985915
555000,49,0.00985915
556000,49,0.00985915
557000,49,0.00985915
558000,49,0.00985915
559000,49,0.00985915
560000,49,0.00985915
561000,49,0.00985915
562000,49,0.00985915
563000,49,0.00985915
564000,49,0.00985915
565000,49,0.00985915
566000,49,0.00985915
567000,49,0.00985915
568000,49,0.00985915
569000,49,0.00985915
570000,49,0.00985915
571000,49,0.00985915
572000,49,0.00985915
573000,49,0.00985915
574000,49,0.00985915
575000,49,0.00985915
576000,49,0.00985915
577000,49,0.00985915
578000,50,0.0100604
579000,50,0.0100604
580000,50,0.0100604
581000,50,0.0100604
582000,50,0.0100604
583000,50,0.0100604
584000,50,0.0100604
585000,50,0.0100604
586000,50,0.0100604
587000,50,0.0100604
588000,50,0.0100604
589000,50,0.0100604
590000,50,0.0100604
591000,50,0.0100604
592000,50,0.0100604
593000,50,0.0100604
594000,50,0.0100604
595000,50,0.0100604
596000,50,0.0100604
597000,50,0.0100604
598000,50,0.0100604
599000,50,0.0100604
6e+05,50,0.0100604
601000,50,0.0100604
602000,50,0.0100604
603000,50,0.0100604
604000,50,0.0100604
605000,50,0.0100604
606000,50,0.0100604
607000,50,0.0100604
608000,50,0.0100604
609000,50,0.0100604
610000,50,0.0100604
611000,50,0.0100604
612000,50,0.0100604
613000,50,0.0100604
614000,50,0.0100604
615000,50,0.0100604
616000,50,0.0100604
617000,50,0.0100604
618000,50,0.0100604
619000,50,0.0100604
620000,50,0.0100604
621000,50,0.0100604
622000,50,0.0100604
623000,50,0.0100604
624000,50,0.0100604
625000,50,0.0100604
626000,50,0.0100604
627000,50,0.0100604
628000,50,0.0100604
629000,50,0.0100604
630000,50,0.0100604
631000,50,0.0100604
632000,50,0.0100604
633000,50,0.0100604
634000,50,0.0100604
635000,50,0.0100604
636000,50,0.0100604
637000,50,0.0100604
638000,50,0.0100604
639000,50,0.0100604
640000,50,0.0100604
641000,50,0.0100604
642000,50,0.0100604
643000,51,0.0102616
644000,51,0.0102616
645000,51,0.0102616
646000,51,0.0102616
647000,51,0.0102616
648000,51,0.0102616
649000,51,0.0102616
650000,51,0.0102616
651000,51,0.0102616
652000,51,0.0102616
653000,51,0.0102616
654000,51,0.0102616
655000,51,0.0102616
656000,51,0.0102616
657000,51,0.0102616
658000,51,0.0102616
659000,51,0.0102616
660000,51,0.0102616
661000,51,0.0102616
662000,51,0.0102616
663000,51,0.0102616
664000,51,0.0102616
665000,51,0.0102616
666000,51,0.0102616
667000,51,0.0102616
668000,51,0.0102616
669000,51,0.0102616
670000,51,0.0102616
671000,51,0.0102616
672000,51,0.0102616
673000,51,0.0102616
674000,51,0.0102616
675000,51,0.0102616
676000,51,0.0102616
677000,51,0.0102616
678000,51,0.0102616
679000,51,0.0102616
680000,51,0.0102616
681000,51,0.0102616
682000,51,0.0102616
683000,51,0.0102616
684000,51,0.0102616
685000,51,0.0102616
686000,51,0.0102616
687000,51,0.0102616
688000,51,0.0102616
689000,51,0.0102616
690000,51,0.0102616
691000,51,0.0102616
692000,51,0.0102616
693000,51,0.0102616
694000,51,0.0102616
695000,51,0.0102616
696000,51,0.0102616
697000,51,0.0102616
698000,51,0.0102616
699000,51,0.0102616
7e+05,51,0.0102616
701000,51,0.0102616
702000,51,0.0102616
703000,51,0.0102616
704000,51,0.0102616
705000,51,0.0102616
706000,51,0.0102616
707000,51,0.0102616
708000,51,0.0102616
709000,51,0.0102616
710000,51,0.0102616
711000,51,0.0102616
712000,51,0.0102616
713000,51,0.0102616
714000,51,0.0102616
715000,51,0.0102616
716000,51,0.0102616
717000,51,0.0102616
718000,51,0.0102616
719000,51,0.0102616
720000,51,0.0102616
721000,51,0.0102616
722000,51,0.0102616
723000,51,0.0102616
724000,51,0.0102616
725000,51,0.0102616
726000,51,0.0102616
727000,51,0.0102616
728000,51,0.0102616
729000,51,0.0102616
730000,51,0.0102616
731000,51,0.0102616
732000,51,0.0102616
733000,51,0.0102616
734000,51,0.0102616
735000,51,0.0102616
736000,51,0.0102616
737000,51,0.0102616
